Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Contact Timing","Switch Function","Current Rating","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Contact Material","Contact Finish","Mounting Type","Termination Style","Features"
http://www.nkkswitches.com/pdf/SSnonilluminated.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/SS12SBP4.jpg,360-3261-ND,SS12SBP4,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,4371,1113,"2.35000","0","1","Tray","SS","Active","SPDT","Shorting (MBB)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.00mm","Phosphor Bronze","Gold","Through Hole","PC Pin","-"
http://www.nkkswitches.com/pdf/SSnonilluminated.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_SS12SBH4.jpg,SS12SBH4-ND,SS12SBH4,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,40,0,"2.35000","0","1","Tray","SS","Active","SPDT","Shorting (MBB)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole, Right Angle","PC Pin","-"
http://www.nkkswitches.com/pdf/SSnonilluminated.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_SS12SDH4.jpg,SS12SDH4-ND,SS12SDH4,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,7,0,"2.35000","0","1","Tray","SS","Active","SPDT","Shorting (MBB)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole, Right Angle","PC Pin","-"
http://www.nidec-copal-electronics.com/e/catalog/switch/as.pdf,//media.digikey.com/Photos/Copal%20Photos/AS1x-5M-10-Z.jpg,563-1580-ND,AS1D-5M-10-Z,Copal Electronics Inc.,SWITCH SLIDE SPDT 50MA 48V,580,700,"2.43000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","50mA (AC/DC)","48V","48V","Standard","4.30mm","-","Gold","Through Hole, Right Angle","PC Pin","-"
http://www.nidec-copal-electronics.com/e/catalog/switch/as.pdf,//media.digikey.com/Photos/Copal%20Photos/AS1D-6M-10-Z.jpg,563-1581-ND,AS1D-6M-10-Z,Copal Electronics Inc.,SWITCH SLIDE SPDT 50MA 48V,380,0,"2.43000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","50mA (AC/DC)","48V","48V","Standard","4.30mm","-","Gold","Through Hole, Right Angle","PC Pin","-"
http://www.nidec-copal-electronics.com/e/catalog/switch/mfs.pdf,//media.digikey.com/Photos/Copal%20Photos/MFS101D-15-Z.JPG,563-1554-ND,MFS101D-15-Z,Copal Electronics Inc.,SWITCH SLIDE SPDT 200MA 12V,223,1700,"2.43000","0","1","Bulk","MFS","Active","SPDT","Non-Shorting (BBM)","On-On","200mA (DC)","-","12V","Standard","2.00mm","-","-","Through Hole","PC Pin","-"
http://www.apem.com/files/apem/brochures/switch-slide-NK-ENG.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/nk236.JPG,679-1860-ND,NK236,Apem Inc.,SWITCH SLIDE SPDT 500MA 12V,2169,0,"2.47000","0","1","Bulk","NK","Active","SPDT","Not Specified","On-On","500mA (DC)","-","12V","Flush","-","Nickel","Gold","Through Hole","PC Pin","Sealed - Flux Protection"
http://www.nidec-copal-electronics.com/e/catalog/switch/cl-sa.pdf,//media.digikey.com/Photos/Copal%20Photos/CL-SA-12C-22.JPG,563-1387-ND,CL-SA-12C-22,Copal Electronics Inc.,SWITCH SLIDE SPDT 500MA 12V,960,300,"2.52000","0","1","Bulk","CL-SA","Active","SPDT","Non-Shorting (BBM)","On-On","500mA (DC)","-","12V","Standard","1.40mm","Gold (Au)","-","Through Hole","PC Pin","-"
http://www.nidec-copal-electronics.com/e/catalog/switch/cl-sa.pdf,//media.digikey.com/Photos/Copal%20Photos/CL-SA-12C-02.JPG,563-1388-ND,CL-SA-12C-02,Copal Electronics Inc.,SWITCH SLIDE SPDT 500MA 12V,447,0,"2.52000","0","1","Bulk","CL-SA","Active","SPDT","Non-Shorting (BBM)","On-On","500mA (DC)","-","12V","Standard","1.40mm","Gold (Au)","-","Through Hole","PC Pin","-"
http://spec_sheets.e-switch.com/specs/T511005.pdf,//media.digikey.com/photos/E-Switch%20Photos/500SSP1S1M1QEB.jpg,EG2476-ND,500SSP1S1M1QEB,E-Switch,SWITCH SLIDE SPDT 5A 120V,329,0,"2.52000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","5A (AC/DC)","120V","28V","Standard","5.08mm","Copper Alloy","Silver","Panel Mount","Solder Lug","Epoxy Sealed Terminals"
http://spec_sheets.e-switch.com/specs/T511068.pdf,//media.digikey.com/photos/E-Switch%20Photos/500SSP1S1M1QEA.jpg,EG2473-ND,500SSP1S1M1QEA,E-Switch,SWITCH SLIDE SPDT 5A 120V,15,0,"2.52000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","5A (AC/DC)","120V","28V","Standard","5.08mm","Copper Alloy","Silver","Panel Mount","Solder Lug","Epoxy Sealed Terminals"
http://www.nidec-copal-electronics.com/e/catalog/switch/ase.pdf,//media.digikey.com/Photos/Copal%20Photos/ASE1D-6M-10-Z.JPG,563-1594-ND,ASE1D-6M-10-Z,Copal Electronics Inc.,SWITCH SLIDE SPDT 50MA 60V,367,150,"2.54000","0","1","Bulk","ASE","Active","SPDT","Non-Shorting (BBM)","On-On","50mA (AC/DC)","60V","60V","Standard","2.80mm","-","Gold","Through Hole, Right Angle","PC Pin","Washable"
http://www.apem.com/files/apem/brochures/switch-slide-NK-ENG.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/NK236H.jpg,679-1861-ND,NK236H,Apem Inc.,SWITCH SLIDE SPDT 500MA 12V,5871,3500,"2.57000","0","1","Bulk","NK","Active","SPDT","Not Specified","On-On","500mA (DC)","-","12V","Standard","1.40mm","Nickel","Gold","Through Hole","PC Pin","Sealed - Flux Protection"
http://www.nidec-copal-electronics.com/e/catalog/switch/cl-sa.pdf,//media.digikey.com/Photos/Copal%20Photos/CL-SA-12C4-22.JPG,563-1385-ND,CL-SA-12C4-22,Copal Electronics Inc.,SWITCH SLIDE SPDT 500MA 12V,762,100,"2.57000","0","1","Bulk","CL-SA","Active","SPDT","Non-Shorting (BBM)","On-On","500mA (DC)","-","12V","Standard","1.40mm","Gold (Au)","-","Through Hole, Right Angle","PC Pin","-"
http://www.nidec-copal-electronics.com/e/catalog/switch/cl-sa.pdf,//media.digikey.com/Photos/Copal%20Photos/CL-SA-12C4-02.JPG,563-1386-ND,CL-SA-12C4-02,Copal Electronics Inc.,SWITCH SLIDE SPDT 500MA 12V,512,100,"2.57000","0","1","Bulk","CL-SA","Active","SPDT","Non-Shorting (BBM)","On-On","500mA (DC)","-","12V","Standard","1.40mm","Gold (Au)","-","Through Hole, Right Angle","PC Pin","-"
http://spec_sheets.e-switch.com/specs/T511004.pdf,//media.digikey.com/photos/E-Switch%20Photos/500SSP1S1M2REA.jpg,EG2472-ND,500SSP1S1M2REA,E-Switch,SWITCH SLIDE SPDT 0.4VA 20V,1671,0,"2.70000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","0.4VA (AC/DC)","20V","20V","Standard","5.08mm","Copper Alloy","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals"
http://spec_sheets.e-switch.com/specs/T511028.pdf,//media.digikey.com/Photos/E-Switch%20Photos/500SSP1S2M2QEA.JPG,EG5137-ND,500SSP1S2M2QEA,E-Switch,SWITCH SLIDE SPDT 5A 120V,296,0,"2.72000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","5A (AC/DC)","120V","28V","Standard","7.24mm","Copper Alloy","Silver","Through Hole","PC Pin","Epoxy Sealed Terminals"
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1437575-4&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/SSA12G.jpg,450-1603-ND,SSA12G,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE SPDT 0.4VA 20V,3397,0,"2.78000","0","1","Bulk","SSA","Active","SPDT","Not Specified","On-On","0.4VA (AC/DC)","20V","20V","Standard","2.00mm","Copper Alloy","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals"
http://switches-connectors-custom.cwind.com/Asset/GS-111-0044-Dimension-drawing.pdf,//media.digikey.com/Photos/CW%20Ind%20Photos/GS-111-0044.JPG,CWI420-ND,GS-111-0044,CW Industries,SWITCH SLIDE SPDT 500MA 125V,438,0,"2.79000","0","1","Bulk","GS","Active","SPDT","Not Specified","On-On","500mA (AC/DC)","125V","125V","Standard","6.35mm","Copper Alloy","Silver","Through Hole","PC Pin","-"
http://spec_sheets.e-switch.com/specs/T511006.pdf,//media.digikey.com/photos/E-Switch%20Photos/500SSP1S1M6QEA.jpg,EG2478-ND,500SSP1S1M6QEA,E-Switch,SWITCH SLIDE SPDT 5A 120V,10579,0,"2.93000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","5A (AC/DC)","120V","28V","Standard","4.72mm","Copper Alloy","Silver","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://spec_sheets.e-switch.com/specs/T511069.pdf,//media.digikey.com/Photos/E-Switch%20Photos/500SSP1S1M6QEB.jpg,500SSP1S1M6QEB-ND,500SSP1S1M6QEB,E-Switch,SWITCH SLIDE SPDT 5A 120V,266,0,"2.93000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","5A (AC/DC)","120V","28V","Standard","4.72mm","Copper Alloy","Silver","Panel Mount, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825258&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/MSS1200RG04.jpg,450-1631-ND,1825258-2,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE SPDT 0.4VA 20V,1680,0,"2.94000","0","1","Bulk","MSS","Active","SPDT","Shorting (MBB)","On-On","0.4VA (AC/DC)","20V","20V","Standard","4.00mm","Copper Alloy","Gold","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://spec_sheets.e-switch.com/specs/T511012.pdf,//media.digikey.com/photos/E-Switch%20Photos/500SSP1S1M7QEA.jpg,EG2480-ND,500SSP1S1M7QEA,E-Switch,SWITCH SLIDE SPDT 5A 120V,533,0,"3.01000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","5A (AC/DC)","120V","28V","Standard","4.72mm","Copper Alloy","Silver","Through Hole, Right Angle, Vertical","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/SS3surfaceMount-1.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_SS312SAH4-RO.jpg,360-3250-ND,SS312SAH4,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,15872,0,"3.02000","0","1","Tray","SS3","Active","SPDT","Shorting (MBB)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.00mm","Phosphor Bronze","Gold","Surface Mount, Right Angle","Gull Wing","-"
http://spec_sheets.e-switch.com/specs/T511001.pdf,//media.digikey.com/photos/E-Switch%20Photos/500SSP1S1M6REA.jpg,EG2477-ND,500SSP1S1M6REA,E-Switch,SWITCH SLIDE SPDT 0.4VA 20V,1988,0,"3.05000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","0.4VA (AC/DC)","20V","20V","Standard","4.72mm","Copper Alloy","Gold","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825076&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/SLS12104%20.jpg,450-1596-ND,1825076-1,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE SPDT 250MA 125V,248,0,"3.08000","0","1","Bulk","SLS","Active","SPDT","Non-Shorting (BBM)","On-On","250mA (AC), 150mA (DC)","125V","12V","Standard","5.00mm","Copper Alloy","Silver","Panel Mount","Solder Lug","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/SS3surfaceMount-1.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/SS312SAH4-R.jpg,360-2924-1-ND,SS312SAH4-R,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,6053,0,"3.33000","0","1","Cut Tape (CT)","SS3","Active","SPDT","Shorting (MBB)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.00mm","Phosphor Bronze","Gold","Surface Mount, Right Angle","Gull Wing","-"
http://www.apem.com/files/apem/brochures/switch-slide-NK-ENG.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/NK236W.JPG,679-1862-ND,NK236W,Apem Inc.,SWITCH SLIDE SPDT 500MA 12V,2303,0,"3.36000","0","1","Bulk","NK","Active","SPDT","Not Specified","On-On","500mA (DC)","-","12V","Flush","-","Nickel","Gold","Through Hole, Right Angle","PC Pin","Sealed - Flux Protection"
http://www.apem.com/files/apem/brochures/switch-slide-NK-ENG.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/nk236wh.JPG,679-1863-ND,NK236WH,Apem Inc.,SWITCH SLIDE SPDT 500MA 12V,1945,21300,"3.42000","0","1","Bulk","NK","Active","SPDT","Not Specified","On-On","500mA (DC)","-","12V","Standard","1.40mm","Nickel","Gold","Through Hole, Right Angle","PC Pin","Sealed - Flux Protection"
http://www.ckswitches.com/media/1429/1000.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/1101M2S3CQE2.jpg,CKN5001-ND,1101M2S3CQE2,C&K,SWITCH SLIDE SPDT 6A 120V,6262,0,"3.46000","0","1","Bulk","1000","Active","SPDT","Not Specified","On-On","6A (AC/DC)","120V","28V","Standard","5.08mm","Copper","Silver","Through Hole","PC Pin","Black Actuator, Epoxy Sealed Terminals"
http://www.ckswitches.com/media/1429/1000.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/1101M2S3CBE2.JPG,CKN5000-ND,1101M2S3CBE2,C&K,SWITCH SLIDE SPDT 0.4VA 20V,4982,0,"3.54000","0","1","Bulk","1000","Active","SPDT","Not Specified","On-On","0.4VA (AC/DC)","20V","20V","Standard","5.08mm","Copper","Gold","Through Hole","PC Pin","Black Actuator, Epoxy Sealed Terminals"
http://www.nidec-copal-electronics.com/e/catalog/switch/8ss.pdf,//media.digikey.com/Photos/Copal%20Photos/8SS10x2-Z.jpg,563-1621-ND,8SS1012-Z,Copal Electronics Inc.,SWITCH SLIDE SPDT 6A 125V,262,900,"3.64000","0","1","Bulk","8SS","Active","SPDT","Non-Shorting (BBM)","On-On","6A (AC), 4A (DC)","125V","30V","Standard","5.00mm","-","Silver","Through Hole","PC Pin","-"
http://www.nidec-copal-electronics.com/e/catalog/switch/8ss.pdf,//media.digikey.com/Photos/Copal%20Photos/8SS10x1-Z.jpg,563-1620-ND,8SS1011-Z,Copal Electronics Inc.,SWITCH SLIDE SPDT 6A 125V,157,8200,"3.64000","0","1","Bulk","8SS","Active","SPDT","Non-Shorting (BBM)","On-On","6A (AC), 4A (DC)","125V","30V","Standard","5.00mm","-","Silver","Panel Mount","Solder Lug","-"
http://www.nkkswitches.com/pdf/Aslides.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/AS12AP,%20AS13AP.jpg",360-2121-ND,AS12AP,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,1152,0,"3.65000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/AS12CP.JPG,360-2612-ND,AS12CP,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,477,0,"3.65000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","3.80mm","Phosphor Bronze","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/MSnonilluminated.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MS12AFG01.JPG,360-2380-ND,MS12AFG01,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,33,31,"3.79000","0","1","Bulk","MS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","5.10mm","Copper","Gold","Panel Mount","Solder Lug","Epoxy Sealed Terminals"
http://www.ckswitches.com/media/1429/1000.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/1101M1S3ZBE2.jpg,CKN5059-ND,1101M1S3ZBE2,C&K,SWITCH SLIDE SPDT 0.4VA 20V,2245,0,"3.81000","0","1","Bulk","1000","Active","SPDT","Not Specified","On-On","0.4VA (AC/DC)","20V","20V","Standard","5.08mm","Copper","Gold","Panel Mount","Solder Lug","Black Actuator, Epoxy Sealed Terminals"
http://www.ckswitches.com/media/1425/lp.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/LP02C21T203DQ.jpg,CKC5015-ND,LP02C21T203DQ,C&K,SWITCH SLIDE SPDT 6A 125V,208,0,"3.81000","0","1","Tray","LP","Active","SPDT","Not Specified","On-On","6A (AC/DC)","125V","28V","Snap on Cap","9.55mm","Copper","Silver","Panel Mount, Snap-In","Solder Lug","On-Off Marking on Housing"
http://spec_sheets.e-switch.com/specs/T511000.pdf,//media.digikey.com/photos/E-Switch%20Photos/500ASSP1M2RE.jpg,EG2482-ND,500ASSP1M2RE,E-Switch,SWITCH SLIDE SPDT 0.4VA 20V,1,0,"3.83000","0","1","Tray","500A","Active","SPDT","Not Specified","On-On","0.4VA (AC/DC)","20V","20V","Standard","3.10mm","Copper Alloy","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/smslides.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_SM0320102.jpg,360-2920-ND,SM0320102,NKK Switches,SWITCH SLIDE SPDT 500MA 12V,1584,951,"3.84000","0","1","Bulk","SM","Active","SPDT","Non-Shorting (BBM)","On-On","500mA (DC)","-","12V","Standard","1.40mm","Brass","Gold","Through Hole","PC Pin","-"
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825257&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/MSS1200G04.jpg,450-1583-ND,1825257-2,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE SPDT 0.4VA 20V,2296,0,"3.91000","0","1","Bulk","MSS","Active","SPDT","Shorting (MBB)","On-On","0.4VA (AC/DC)","20V","20V","Standard","5.00mm","Copper Alloy","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals"
http://www.ckswitches.com/media/1423/l.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/l102121ml04b.JPG,L102121ML04B-ND,L102121ML04B,C&K,SWITCH SLIDE SPDT 0.4VA 20V,136,0,"3.97000","0","1","Bulk","L","Active","SPDT","Not Specified","On-On","0.4VA (AC/DC)","20V","20V","Screwdriver Slot","1.65mm","Copper","Gold","Through Hole, Right Angle","PC Pin","-"
http://www.nkkswitches.com/pdf/MSnonilluminated.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MS12ANG03.jpg,360-2383-ND,MS12ANG03,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,67,1108,"3.98000","0","1","Bulk","MS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","5.10mm","Copper","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals"
http://spec_sheets.e-switch.com/specs/T551101.pdf,//media.digikey.com/photos/E-Switch%20Photos/500ASSP1M6QE.jpg,EG2483-ND,500ASSP1M6QE,E-Switch,SWITCH SLIDE SPDT 3A 120V,2491,0,"3.99000","0","1","Bulk","500A","Active","SPDT","Not Specified","On-On","3A (AC/DC)","120V","28V","Standard","3.10mm","Copper Alloy","Silver","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://www.ckswitches.com/media/1429/1000.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/1101M1S2ZQE2,%201101M1S3ZQE2.jpg",CKN5004-ND,1101M1S3ZQE2,C&K,SWITCH SLIDE SPDT 6A 120V,642,0,"4.06000","0","1","Bulk","1000","Active","SPDT","Not Specified","On-On","6A (AC/DC)","120V","28V","Standard","5.08mm","Copper","Silver","Panel Mount","Solder Lug","Black Actuator, Epoxy Sealed Terminals"
